objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
1,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Dandenong to Pakenham, 
2,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Dandenong to Pakenham, 
3,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Carrum to Warburton Trail, 
4,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,"Dandenong to Pakenham, Carrum to Warburton Trail", 
5,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,"Dandenong to Pakenham, Carrum to Warburton Trail", 
6,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Dandenong to Pakenham, 
7,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Ringwood to Dandenong, 
8,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Ringwood to Dandenong, 
9,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,"Dandenong to Pakenham, Carrum to Warburton Trail", 
10,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,"Dandenong to Pakenham, Carrum to Warburton Trail", 
11,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Carrum to Warburton Trail, 
12,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Central Subregion to Point Nepean, 
13,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Dandenong to Pakenham, 
14,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,"Dandenong to Pakenham, Carrum to Warburton Trail", 
15,PBN & MTN,Off Road,Existing,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Central Subregion to Point Nepean, 
